time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/learning_rate,train/value_loss,train/approx_kl,train/clip_range,train/explained_variance,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/loss
62,895.1,12741,121.83652614,794624,388,0.0003,1.2355384148657322,0.005499168,0.2,0.7325945198535919,-0.8607883386313915,0.049560546875,-0.005068612127797678,3870,0.4128511846065521
62,895.11,12772,121.78967149,796672,389,0.0003,1.1296064153313636,0.005285121,0.2,0.6614670157432556,-0.8342087924480438,0.030712890625,-0.0036235880281310527,3880,0.5683459639549255
62,894.95,12803,121.642426,798720,390,0.0003,1.1702911898493766,0.0049598846,0.2,0.6085063219070435,-0.844305033236742,0.036083984375,-0.004802342009497806,3890,0.5572726726531982
62,894.88,12835,121.42824222000002,800768,391,0.0003,1.2711635418236256,0.005708698,0.2,0.747018426656723,-0.8369608357548713,0.051171875,-0.006086056964704767,3900,0.4768218696117401
62,894.68,12866,121.34937180000001,802816,392,0.0003,1.3666806653141976,0.0058342856,0.2,0.6694195866584778,-0.8332194328308106,0.04677734375,-0.0064296597556676716,3910,0.5180099606513977
62,894.48,12897,121.34455582999999,804864,393,0.0003,1.1851103372871876,0.007647613,0.2,0.6963933706283569,-0.822897408157587,0.06005859375,-0.005013263988075778,3920,0.58404940366745
62,894.26,12930,121.30202347000001,806912,394,0.0003,1.6953049033880234,0.005047554,0.2,0.6818822622299194,-0.8231768555939197,0.03505859375,-0.005188232421642169,3930,0.832622766494751
62,894.19,12963,121.33576643,808960,395,0.0003,1.2266582809388638,0.0044906186,0.2,0.6751957833766937,-0.8196461349725723,0.0455078125,-0.004658872785512358,3940,0.6107989549636841
62,894.04,12997,121.27686905,811008,396,0.0003,1.3328395925462246,0.0060229334,0.2,0.6485063135623932,-0.8135250486433506,0.02646484375,-0.0034132516535464673,3950,0.5495816469192505
62,893.87,13028,121.27300012000002,813056,397,0.0003,1.2403448142111302,0.0057145655,0.2,0.630793035030365,-0.8360911853611469,0.065087890625,-0.007448013286921196,3960,0.4358504116535187
62,893.61,13061,121.24912205000001,815104,398,0.0003,1.0977854214608669,0.0073406217,0.2,0.7522920519113541,-0.8246585443615914,0.06611328125,-0.007506991236004979,3970,0.5135517120361328
62,893.65,13093,121.22134461,817152,399,0.0003,1.2022928155958652,0.0060672527,0.2,0.6610609292984009,-0.8366716183722019,0.044287109375,-0.003813174576498568,3980,0.3533444404602051
62,893.6,13127,121.25217360999999,819200,400,0.0003,1.2529910407960414,0.005035801,0.2,0.7127362489700317,-0.8327760905027389,0.037548828125,-0.005411221529357135,3990,0.5591029524803162
62,893.74,13160,121.35214556,821248,401,0.0003,1.1774205654859542,0.006465774,0.2,0.7481176853179932,-0.8436829663813115,0.056982421875,-0.006717565935105085,4000,0.4168769121170044
62,893.7,13193,121.22987006,823296,402,0.0003,1.1445504926145076,0.005616024,0.2,0.6647090315818787,-0.80569082275033,0.035400390625,-0.004440809419611469,4010,0.392499178647995
62,893.21,13227,121.01266724999999,825344,403,0.0003,1.2951654978096485,0.005654132,0.2,0.6748984754085541,-0.7878402888774871,0.037646484375,-0.004789555264869705,4020,0.5597853660583496
62,892.89,13259,121.03823849000003,827392,404,0.0003,1.1242477014660834,0.006614859,0.2,0.7172705829143524,-0.7694504499435425,0.05830078125,-0.004895265167579055,4030,0.40133267641067505
62,893.0,13289,121.08030812000001,829440,405,0.0003,1.0336456559598446,0.0044250824,0.2,0.6655805110931396,-0.7623162016272544,0.047900390625,-0.005991888279095292,4040,0.29914090037345886
62,892.96,13320,121.01061638000002,831488,406,0.0003,1.2256841875612736,0.005813066,0.2,0.6836883425712585,-0.7790088124573231,0.044775390625,-0.005220568305230699,4050,0.4896767735481262
62,892.75,13350,120.82903495999999,833536,407,0.0003,1.04086851850152,0.0057760533,0.2,0.653831958770752,-0.7764496430754662,0.057958984375,-0.005797561700455844,4060,0.39673659205436707
62,892.66,13381,120.83905845999998,835584,408,0.0003,1.0365732409060002,0.0061080176,0.2,0.6582237184047699,-0.7669772729277611,0.052490234375,-0.00685379133792594,4070,0.3680063486099243
62,892.44,13412,120.84583828,837632,409,0.0003,1.1623547397553922,0.0047420356,0.2,0.7170134782791138,-0.739858242124319,0.026416015625,-0.005202738917432725,4080,0.6523025631904602
62,892.53,13443,120.85458949000002,839680,410,0.0003,1.1606542475521564,0.0038317463,0.2,0.6450336575508118,-0.7603639684617519,0.039501953125,-0.004864390462171286,4090,0.3457418382167816
62,892.58,13473,120.89252912000002,841728,411,0.0003,1.2104801654815673,0.005592348,0.2,0.7638832181692123,-0.7595386236906052,0.053125,-0.008321048913057894,4100,0.5351693034172058
62,892.34,13505,120.74255300000003,843776,412,0.0003,1.067834947258234,0.005270347,0.2,0.6991214156150818,-0.7391361899673938,0.03623046875,-0.004659260844346136,4110,0.35717281699180603
62,892.48,13537,120.69456151000003,845824,413,0.0003,1.0911504007875918,0.0049907053,0.2,0.6913196444511414,-0.7529319651424885,0.046728515625,-0.006267713429406285,4120,0.4703841805458069
62,892.09,13569,120.60357889000001,847872,414,0.0003,1.3853293657302856,0.0049849846,0.2,0.7132294178009033,-0.7889796793460846,0.0521484375,-0.006069330911850556,4130,0.597014307975769
62,891.86,13602,120.55504154,849920,415,0.0003,1.1997892528772354,0.0053006397,0.2,0.715079665184021,-0.7774853818118572,0.04189453125,-0.004560079600196332,4140,0.5413441061973572
62,891.72,13633,120.59604983999999,851968,416,0.0003,1.0838826790452003,0.0044824225,0.2,0.7360832691192627,-0.7882232695817948,0.036279296875,-0.00402968994458206,4150,0.41472139954566956
62,891.69,13665,120.57964148,854016,417,0.0003,1.100216230750084,0.0055396715,0.2,0.6473154723644257,-0.770666815340519,0.05458984375,-0.005699890374671668,4160,0.3373214900493622
62,891.8,13698,120.52799630999999,856064,418,0.0003,1.396978923678398,0.005809441,0.2,0.7610307484865189,-0.7870007619261742,0.0458984375,-0.005242263013496995,4170,0.43940863013267517
62,892.0,13730,120.58382660999997,858112,419,0.0003,1.215406670421362,0.006047965,0.2,0.6923497319221497,-0.784558792412281,0.052294921875,-0.006729248882038519,4180,0.5752913951873779
62,891.92,13765,120.68828592999998,860160,420,0.0003,1.2145636603236198,0.0064009614,0.2,0.6619187295436859,-0.7819418802857399,0.050244140625,-0.006137811159715056,4190,0.664517343044281
62,891.87,13796,120.61540186999997,862208,421,0.0003,1.4656942069530488,0.0067363232,0.2,0.7067204117774963,-0.8081212736666202,0.052197265625,-0.0068753670551814135,4200,0.4870985448360443
62,891.71,13828,120.60532081,864256,422,0.0003,1.5432532504200935,0.0060122684,0.2,0.6103904545307159,-0.8213850401341916,0.0537109375,-0.006326303613604978,4210,0.7893473505973816
62,891.89,13860,120.77116018999999,866304,423,0.0003,1.1897023521363734,0.0070698867,0.2,0.6908031404018402,-0.8135499753057956,0.0498046875,-0.0063398044439964,4220,0.4221738874912262
62,892.09,13893,120.81467863000002,868352,424,0.0003,1.140456385910511,0.006439871,0.2,0.7207890748977661,-0.8265324555337429,0.053125,-0.006251807964872569,4230,0.3772795796394348
62,892.2,13925,120.85454349000001,870400,425,0.0003,1.2609636515378952,0.005468557,0.2,0.7348981201648712,-0.8238312393426895,0.04248046875,-0.004221127112396061,4240,0.48762208223342896
62,892.01,13957,120.95835476,872448,426,0.0003,1.2026482306420803,0.006562535,0.2,0.6955730020999908,-0.813100304454565,0.0490234375,-0.0062764145317487415,4250,0.49026989936828613
62,891.64,13988,120.82866434000002,874496,427,0.0003,1.1181031554937362,0.0079493,0.2,0.6277922689914703,-0.7967383213341236,0.068701171875,-0.007811569212935865,4260,0.44742101430892944
62,891.72,14021,120.78137698000002,876544,428,0.0003,1.0624853521585464,0.0046486,0.2,0.7270351052284241,-0.8125395826995373,0.029248046875,-0.0031835727975703778,4270,0.4485311508178711
62,891.65,14053,120.79397873999997,878592,429,0.0003,1.0851000875234604,0.004811509,0.2,0.709518313407898,-0.8223434828221798,0.04345703125,-0.0047054734139237555,4280,0.46766138076782227
62,891.45,14085,120.68460538,880640,430,0.0003,1.2379247277975083,0.0074048936,0.2,0.7108632624149323,-0.8240054853260517,0.065576171875,-0.005893949751043692,4290,0.39248359203338623
62,891.41,14115,120.85827246000001,882688,431,0.0003,1.0466909766197205,0.007994933,0.2,0.7065933346748352,-0.8345688909292222,0.056982421875,-0.006036760366987437,4300,0.41922879219055176
62,891.54,14147,120.85843764,884736,432,0.0003,1.2065069079399109,0.0035388544,0.2,0.6916614770889282,-0.8381001956760883,0.031396484375,-0.0029470977489836512,4310,0.48642128705978394
62,891.85,14177,121.04103973,886784,433,0.0003,1.1881477959454059,0.0057847425,0.2,0.6818135380744934,-0.8357490576803684,0.053076171875,-0.004686276352731511,4320,0.38438448309898376
62,891.82,14209,121.15418987,888832,434,0.0003,1.1271539248526097,0.007476573,0.2,0.7085969150066376,-0.837697122246027,0.050927734375,-0.0060771818913053725,4330,0.5062139630317688
62,891.84,14241,121.27383756000003,890880,435,0.0003,1.3064057059586047,0.00643232,0.2,0.7842772603034973,-0.8617847815155983,0.055615234375,-0.006205112393945456,4340,0.4959297478199005
62,892.0,14271,121.34447143000003,892928,436,0.0003,1.0763042882084846,0.0060349065,0.2,0.7555036246776581,-0.8180734410881996,0.064892578125,-0.006604307144880295,4350,0.5123343467712402
62,892.15,14303,121.41829054,894976,437,0.0003,1.1193402215838433,0.007633666,0.2,0.7418144643306732,-0.8464615777134895,0.053955078125,-0.004570973958470859,4360,0.35965171456336975
62,892.36,14339,121.40793902,897024,438,0.0003,1.3656611919403077,0.005218749,0.2,0.7652236819267273,-0.8599247373640537,0.047900390625,-0.0025956827943446116,4370,0.7216266393661499
